,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
1859,1340,0,1,4850,3,3,42130,,12.862779,,Kondapur,77.614742,,12-Oct-20,6500000,Sai Balaji Enclave,Bannerghatta Road,4.93,2.888888889,4.222222222
1860,1530,0,1,3921,3,3,222857,,17.371382,,Bandari Layout,78.538117,,13-Oct-20,6000000,Neeladri Heights,Kothapet,4.54,1.888888889,4.033333333
1861,2240,4-Feb-21,1,4800,3,3,0,,17.379645,,Mamatha Nagar Colony,78.558974,,4-Nov-20,10752000,Naveen Constructions,,,,
1862,1583,0,1,11686,2,3,11254,,17.423512,,Kavadiguda,78.494709,,12-Oct-20,17350000,Salarpuria Sattva Necklace Pride,Boiguda,4.21,1.888888889,4.2
1863,1834,0,1,8724,3,3,416211,,17.398775,,Puppalaguda,78.355493,,12-Oct-20,16000000,My Home Avatar,Gandipet,4.75,1.444444444,3.855555556
1864,1320,0,2,4500,2,3,0,,17.38504,,Building adjoining to Temple,78.48667,,23-Oct-20,5900000,ALM RESIDENCY PRAKASH NAGAR BEGUMPET 500016,Koti,4.77,1.555555556,4.033333333
1865,3330,0,2,2252,2,3,514533,,17.44879,,Rajeev Nagar,78.424341,,13-Oct-20,7500000,Poojitha Apartments,Yousufguda,4.92,2.555555556,4.2
1866,1165,0,2,6438,2,2,103965,,17.518637,,Hafeezpet,78.340735,,12-Oct-20,7500000,B R Hemadurga Towers,Miyapur,4.68,1.777777778,4.022222222
1867,950,0,2,4736,2,2,410492,,17.44462,,Begumpet,78.466017,,12-Oct-20,4500000,Susheela Bhavan,Begumpet,4.55,2.333333333,4.211111111
1868,1250,0,1,4000,2,2,38080,,17.517935,,Nizampet,78.372558,,12-Oct-20,5000000,KSR Sri Jaya Classic,Nizampet,4.55,1.666666667,3.911111111
1869,1834,0,3,6815,3,2,6108,,17.408766,,OU Colony,78.389884,,13-Oct-20,12500000,Western Plaza,Manikonda,4.75,1.444444444,3.855555556
1870,1100,0,1,6181,2,2,52072,,17.501174,,Chandanagar,78.320853,,12-Oct-20,6800000,Sri Lakshmi Shubham Arcade Spoorthy,,,,
1871,1450,0,1,6482,2,3,43424,,17.503401,,Suchitra,78.470092,,11-Nov-20,8800000,Armsburg Koundinya,,,,
1872,1653,0,1,4960,3,3,0,,17.488531,,Dairy Farm Road,78.48508,,12-Oct-20,8200000,sri sai towers dairy farm sarvadama nagar,Bowenpally,4.12,1.777777778,4.022222222
1873,800,0,2,4625,2,2,0,,17.38504,,Padma nahar phase 2 ring road,78.48667,,13-Oct-20,3700000,Sairam residency ,Koti,4.77,1.555555556,4.033333333
