,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,latitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
51,1806,0,2,6500,3,3,8680,1,22.59508,1,Shyam Bazaar,88.375853,Ginni Realty,17-Nov-20,11739000,Ginni Himadri,Shyam Bazar,4.17,1.888888889,4.077777778
52,973,1-Apr-21,1,2500,2,3,344071,1,22.643298,1,Howrah,88.197119,Belmonte Enclave LLP.,29-Oct-20,2432500,Belmont Swarna Bhoomi,,,,
53,523,1-Apr-21,,2500,1,1,344071,1,22.643298,1,Howrah,88.197119,Belmonte Enclave LLP.,29-Oct-20,1307500,Belmont Swarna Bhoomi,,,,
54,3257,1-Aug-25,,9501,5,6,1049923,1,22.509854,1,New Alipore,88.331069,PS Group Realty Ltd,5-Nov-20,30944757,PS Navyom,,,,
55,836,1-Apr-21,1,2500,2,2,344071,1,22.643298,1,Howrah,88.197119,Belmonte Enclave LLP.,17-Nov-20,2090000,Belmont Swarna Bhoomi,,,,
56,921,1-Dec-20,,7000,2,2,1046772,1,22.578114,1,College Street,88.366215,Saket Promoters Ltd,9-Sep-20,6447000,Saket Royal,College Street,4.83,1.555555556,4.166666667
57,1331,1-Aug-21,1,3700,2,3,410802,1,22.638156,1,Kaikhali,88.449703,G M Group,1-Sep-20,4924700,GM Meena Paradise,,,,
58,440,1-Aug-23,1,2600,1,1,773431,1,22.386195,1,Baruipur,88.42447,Eden Group,25-Sep-20,1144000,Eden Meghbalika,,,,
59,870,1-Sep-20,,5100,2,3,292045,1,22.641998,1,Rajarhat,88.466071,Aspira Loharuka Developers,11-Sep-20,4437000,Freshia,Chinar Park,4.03,3,3.9
60,1020,1-Aug-21,1,3700,2,2,410802,1,22.638156,1,Kaikhali,88.449703,G M Group,1-Sep-20,3774000,GM Meena Paradise,,,,
61,566,1-Aug-22,1,3000,1,1,767899,1,22.456015,1,Kabardanga,88.331051,Eden Group,25-Sep-20,1698000,Eden Tolly Cascades,Thakur Pukur,4.43,1.777777778,3.877777778
62,740,1-Aug-23,1,2600,2,2,773431,1,22.386195,1,Baruipur,88.42447,Eden Group,12-Nov-20,1924000,Eden Meghbalika,,,,
63,1331,0,1,3700,2,3,410802,1,22.638156,1,Kaikhali,88.449703,G M Group,1-Sep-20,4924700,GM Meena Paradise,,,,
64,1012,1-Nov-21,2,2959,2,2,550959,1,22.439239,1,Narendrapur,88.396338,Eden Group,25-Sep-20,3036000,Eden Richmond Enclave,Narendra Pur,3.8,1.333333333,3.944444444
65,1251,1-Aug-22,1,3000,2,3,767899,1,22.456015,1,Kabardanga,88.331051,Eden Group,25-Sep-20,3753000,Eden Tolly Cascades,Thakur Pukur,4.43,1.777777778,3.877777778
66,1459,1-Jun-23,,7265,,4,896062,0,22.629836,,Dum Dum,88.414216,Merlin Projects Limited,13-Nov-20,10600000,Merlin Urvan,Dum Dum,4.01,1.444444444,3.733333333
67,1267,1-Jun-23,,7227,,3,896062,0,22.629836,,Dum Dum,88.414216,Merlin Projects Limited,13-Nov-20,9223000,Merlin Urvan,Dum Dum,4.01,1.444444444,3.733333333
68,1263,1-Jun-22,,8142,,3,550239,0,22.493355,,Tollygunge,88.340365,Merlin Projects Limited,16-Oct-20,10200000,Merlin Verve,,,,
69,696,1-Jun-23,,7224,2,2,896062,1,22.629836,1,Dum Dum,88.414216,Merlin Projects Limited,13-Nov-20,4975000,Merlin Urvan,Dum Dum,4.01,1.444444444,3.733333333
70,870,1-Jun-21,,5100,2,3,292045,1,22.641998,1,Rajarhat,88.466071,Aspira Loharuka Developers,11-Sep-20,4437000,Freshia,Chinar Park,4.03,3,3.9
71,2891,0,1,9100,4,4,471205,0,22.544097,,Topsia,88.38697,Bengal Property,19-Oct-20,26308100,Zen,Topsia,4.82,3.111111111,4.155555556
72,1093,1-Nov-21,2,2950,2,3,550959,1,22.439239,1,Narendrapur,88.396338,Eden Group,25-Sep-20,3224350,Eden Richmond Enclave,Narendra Pur,3.8,1.333333333,3.944444444
73,1005,1-Jun-22,,8240,,2,550239,0,22.493355,,Tollygunge,88.340365,Merlin Projects Limited,16-Oct-20,8200000,Merlin Verve,,,,
74,983,1-Dec-20,,7000,3,3,1046772,1,22.578114,1,College Street,88.366215,Saket Promoters Ltd,9-Sep-20,6566000,Saket Royal,College Street,4.83,1.555555556,4.166666667
75,830.8,0,1,6453,2,3,13222,1,22.488065,1,Behala,88.295812,Ashish Goyal,19-Sep-20,5363274,Purti Planet,Behala,4.73,1.666666667,4.133333333
76,1020,0,1,3700,2,2,410802,1,22.638156,1,Kaikhali,88.449703,G M Group,1-Sep-20,3774000,GM Meena Paradise,,,,
77,493,1-Jun-23,,2550,1,1,504315,0,22.364447,,Amtala ,88.274642,Srijan Star Realty LLP,1-Oct-20,1257150,Srijan Star Swapno Puron,,,,
78,970,1-Dec-22,,2400,3,3,762574,1,22.746763,1,Barasat,88.485751,Magnolia Infrastructure Development LTD,7-Nov-20,2328000,Magnolia Fantasia,Barasat,4.27,1.444444444,3.955555556
