,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,lattitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
1357,1051.63303,0,,18021,3,3,15506,0,19.2094219,,Majiwada,72.9857213,Seed Realty Investments,24-Oct-20,18990000,Rustomjee Azziano,"Castle Mill, Thane West",4.97,2.555555556,4.144444444
1358,719.674354,0,,19085,2,2,15506,0,19.2094219,,Majiwada,72.9857213,Seed Realty Investments,24-Oct-20,9924000,Rustomjee Azziano,"Castle Mill, Thane West",4.97,2.555555556,4.144444444
1359,502.028296,1-Jul-23,,15324,2,2,1018649,0,19.2120456,,Majiwada,72.9866594,Seed Realty Investments,24-Oct-20,7702000,Lodha Quality Homes,,,,
1360,410,1-Mar-24,,17536,,1,867674,0,19.20765,,JK Gram,72.967438,Seed Realty Investments,30-Oct-20,7190000,Raymond Ten X Habitat,,,,
1361,635,1-Mar-24,,18668,,2,867674,0,19.20765,,JK Gram,72.967438,Seed Realty Investments,30-Oct-20,10800000,Raymond Ten X Habitat,,,,
1362,675,1-Dec-25,,16822,2,2,520091,0,19.214027,,Vartak Nagar,72.959575,Seed Realty Investments,24-Oct-20,11355000,Puraniks Grand Central,,,,
1363,454,1-Dec-25,,17482,1,1,520091,0,19.214027,,Vartak Nagar,72.959575,Seed Realty Investments,24-Oct-20,7491454,Puraniks Grand Central,,,,
1364,934,1-Dec-22,,14932,3,3,761415,0,19.22581,,Balkum,72.994172,Seed Realty Investments,24-Oct-20,13947000,Dosti West County,"Majiwada, Thane West",4.97,2.555555556,4.144444444
1365,747,1-Dec-22,,14947,2,2,761415,0,19.22581,,Balkum,72.994172,Seed Realty Investments,24-Oct-20,9700000,Dosti West County,"Majiwada, Thane West",4.97,2.555555556,4.144444444
1366,1227.0846,1-Dec-21,,17292,,3,373294,1,19.223389,1,Balkum,72.989916,Seed Realty Investments,24-Oct-20,21500000,Piramal Vaikunth,,,,
1367,422,1-Sep-24,,12796,1,1,1024682,0,19.26984,,Kasar vadavali,72.97433,Seed Realty Investments,24-Oct-20,5400000,Anant Metropolis Aquaris,,,,
1368,520,1-Jun-25,,4615,,2,1028597,0,19.103373,,Vangani,73.330477,EHC Realtors Pvt. Ltd.,23-Oct-20,2399800,Sai Enrich Hills,,,,
1369,384,1-Jun-25,,4919,,1,1028597,0,19.103373,,Vangani,73.330477,EHC Realtors Pvt. Ltd.,23-Oct-20,1799808,Sai Enrich Hills,,,,
1370,622.687,1-Jun-24,,30777,3,3,1040225,0,19.117033,,Ghansoli,73.005723,SADGURUKRUPA REALTORS,22-Oct-20,18750000,Gami Asters,,,,
1371,520.482,1-Jun-24,,29338,2,2,1040225,0,19.117033,,Ghansoli,73.005723,SADGURUKRUPA REALTORS,22-Oct-20,14800000,Gami Asters,,,,
1372,459,1-Mar-21,,22540,2,1,57338,0,19.11809,1,Andheri (East),72.885402,Royal Properties,17-Oct-20,10000000,Naman Premier,Marol,5,3.111111111,4.322222222
1373,798,1-Jun-21,,22135,2,2,48362,0,19.249118,,Dahisar (East),72.864357,Royal Properties,17-Oct-20,17600000,Northern Heights,,,,
1374,1106,1-Jun-21,,21790,3,3,48362,0,19.249118,,Dahisar (East),72.864357,Royal Properties,17-Oct-20,24100000,Northern Heights,,,,
1375,641,1-Aug-22,,22902,,2,551993,0,19.070412,,Bandra (East),72.846072,Royal Properties,17-Oct-20,14678900,Bandra North Gulmohar Avenue,,,,
1376,590,0,0,21187,2,1,0,,19.1914596,,off s v road,72.8583984,Manas Realty ,30-Oct-20,12500000,Vijaya Apartment,,,,
1377,750,0,3,7329,1,1,494475,,18.967818,,Sector-18 Ulwe,73.023564,,5-Nov-20,4500000,Citi Shelter Avenue,Ulwe,2.03,1.5,3.65
1378,1045,0,4,10047,2,2,34560,,19.259912,,Ghodbunder Road,72.978904,,4-Nov-20,10500000,Rosa Oasis,"Hiranandani Estate, Thane West",4.98,2.666666667,4.155555556
1379,664,0,1,8284,1,1,312145,,19.01566,,Belapur,73.03138,,1-Oct-20,5500000,Tonys Apartment,,,,
1380,640,0,0,13438,2,1,0,,19.25349,,Hiranandani Estate,72.979225,Landmark Homez,18-Oct-20,8600000,Hiranandani The Walk Fortuna,,,,
1381,1070,0,4,4588,2,2,44372,,19.41106,,Vasai East,72.833931,CHAVAN PROPERTIES,13-Nov-20,4910000,RNA NG Shree Ram Van,,,,
1382,323.885751,1-Dec-22,,9571,1,1,1049089,0,18.986318,,Vadghar,73.096973,AMBIKA GROUP,21-Oct-20,3100000,Shree Ambika Aangan,,,,
1383,2147,0,4,14905,4,3,0,,19.1511829,,Airoli,72.9996315,,9-Nov-20,32000000,Sunteck Signia Oceans,,,,
1384,960,0,2,12500,2,2,21522,,19.202002,,Jankalyan Nagar,72.82055,Chintamani Associates,1-Nov-20,12000000,Bhoomi Park,,,,
