,area_sqft,availability_date,balcony,base_price,bathroom,bedrooms,id,kitchens,latitude,living,locality_name,longitude,owner_name,post_date,price,property_name,zomato loc,zomato popularity,zomato price,zomato rating
1250,999,0,,12212,3,3,45956,1,18.635915,1,Chinchwad,73.800012,BrickFolio Solutions Private Limited,22-Oct-20,12200000,Empire Square,Chinchwad,4.5,2.777777778,4.055555556
1251,1837,1-Dec-24,,10342,4,4,1039700,1,18.645966,1,Chinchwad,73.806699,BrickFolio Solutions Private Limited,22-Oct-20,19000000,Runwal The Central Park,Chinchwad,4.5,2.777777778,4.055555556
1252,644.972888,1-Dec-24,,10543,2,2,1039700,1,18.645966,,Chinchwad,73.806699,BrickFolio Solutions Private Limited,22-Oct-20,6800000,Runwal The Central Park,Chinchwad,4.5,2.777777778,4.055555556
1253,1170,1-Dec-24,,8461,3,3,1039700,1,18.645966,1,Chinchwad,73.806699,BrickFolio Solutions Private Limited,22-Oct-20,9900000,Runwal The Central Park,Chinchwad,4.5,2.777777778,4.055555556
1254,1358,1-Jun-21,,9764,6,4,134705,1,18.63394,1,Dange Chowk,73.747305,BrickFolio Solutions Private Limited,22-Oct-20,13260000,7 Plumeria Drive,Ravet,4.82,2.111111111,4.022222222
1255,860,1-Jun-21,0,10058,3,3,134705,1,18.63394,1,Dange Chowk,73.747305,BrickFolio Solutions Private Limited,22-Oct-20,8600000,7 Plumeria Drive,Ravet,4.82,2.111111111,4.022222222
1256,600,1-Jun-21,0,12376,2,2,134705,1,18.63394,1,Dange Chowk,73.747305,BrickFolio Solutions Private Limited,22-Oct-20,7400000,7 Plumeria Drive,Ravet,4.82,2.111111111,4.022222222
1257,690,0,1,6521,1,1,108207,1,18.622725,1,Lohegaon,73.916213,BrickFolio Solutions Private Limited,4-Nov-20,4500000,Pride World City,Lohegaon,4.06,1.111111111,3.155555556
1258,1042,0,,7677,3,3,108207,0,18.622725,,Lohegaon,73.916213,BrickFolio Solutions Private Limited,4-Nov-20,6800000,Pride World City,Lohegaon,4.06,1.111111111,3.155555556
1259,784,0,1,7653,2,2,108207,1,18.622725,1,Lohegaon,73.916213,BrickFolio Solutions Private Limited,4-Nov-20,4599728,Pride World City,Lohegaon,4.06,1.111111111,3.155555556
1260,978,1-Apr-21,,9100,3,3,31230,0,18.5533876,,Kharadi,74.0294958,BrickFolio Solutions Private Limited,21-Oct-20,8100000,VTP Township Codename  Pegasus,Wagholi,4.16,1.777777778,3.9
1261,648,1-Apr-21,,8333,,2,31230,0,18.5533876,,Kharadi,74.0294958,BrickFolio Solutions Private Limited,21-Oct-20,5054400,VTP Township Codename  Pegasus,Wagholi,4.16,1.777777778,3.9
1262,413,1-Apr-21,1,8958,1,1,31230,1,18.5533876,1,Kharadi,74.0294958,BrickFolio Solutions Private Limited,21-Oct-20,3700000,VTP Township Codename  Pegasus,Wagholi,4.16,1.777777778,3.9
1263,874,1-Oct-23,,12165,3,3,1008107,1,18.564307,1,Mahalunge,73.736053,Virtual Reality,31-Oct-20,7400000,Godrej Hillside,Sus,2.47,1.666666667,3.533333333
1264,700,1-Oct-23,,12171,2,2,1008107,1,18.564307,1,Mahalunge,73.736053,Virtual Reality,31-Oct-20,8527000,Godrej Hillside,Sus,2.47,1.666666667,3.533333333
1265,460,1-Oct-23,,11109,1,1,1008107,1,18.564307,1,Mahalunge,73.736053,Virtual Reality,31-Oct-20,3800000,Godrej Hillside,Sus,2.47,1.666666667,3.533333333
1266,1819,1-Jun-21,,10014,4,4,134705,0,18.63394,,Dange Chowk,73.747305,Virtual Reality,31-Oct-20,18217285,7 Plumeria Drive,Ravet,4.82,2.111111111,4.022222222
1267,1262,1-Jun-21,,10000,3,3,134705,0,18.63394,,Dange Chowk,73.747305,Virtual Reality,31-Oct-20,12620000,7 Plumeria Drive,Ravet,4.82,2.111111111,4.022222222
1268,915,1-Jun-21,,12333,2,2,134705,0,18.63394,,Dange Chowk,73.747305,Virtual Reality,31-Oct-20,11254500,7 Plumeria Drive,Ravet,4.82,2.111111111,4.022222222
1269,3018,0,,15514,,4,45956,0,18.635915,,Chinchwad,73.800012,Virtual Reality,31-Oct-20,46821252,Empire Square,Chinchwad,4.5,2.777777778,4.055555556
1270,917,0,,10032,,2,45956,0,18.635915,,Chinchwad,73.800012,Virtual Reality,31-Oct-20,9200000,Empire Square,Chinchwad,4.5,2.777777778,4.055555556
1271,1920,1-Dec-24,,10342,,4,1039700,0,18.645966,,Chinchwad,73.806699,Virtual Reality,31-Oct-20,19858560,Runwal The Central Park,Chinchwad,4.5,2.777777778,4.055555556
1272,760,1-Dec-24,,10326,,2,1039700,0,18.645966,,Chinchwad,73.806699,Virtual Reality,31-Oct-20,7925280,Runwal The Central Park,Chinchwad,4.5,2.777777778,4.055555556
1273,1190,1-Dec-24,,10679,,3,1039700,0,18.645966,,Chinchwad,73.806699,Virtual Reality,31-Oct-20,12500000,Runwal The Central Park,Chinchwad,4.5,2.777777778,4.055555556
1274,928.07,0,,7542,3,3,41790,0,18.593156,,Dhanori,73.893483,Global Estate,4-Nov-20,7000000,Goel Ganga Aria,Dhanori,4.21,1.555555556,3.955555556
1275,894,1-Mar-21,,5369,2,2,486263,0,18.655398,,Ravet,73.73094,Saijeet Realtor,9-Nov-20,4800000,Runal Gateway,Ravet,4.36,2.111111111,3.988888889
1276,761,1-Dec-24,,8230,,2,1035229,0,18.59731,,Wakad,73.76188,VD Realty,31-Oct-20,6256000,Adi W 57,Wakad,5,3.111111111,4.4
1277,955,0,,8260,,2,42478,0,18.596257,,Hinjewadi,73.740839,R K Properties,23-Oct-20,7876000,Sheth Beverly Hills,Hinjawadi,4.95,2.777777778,4.111111111
